Security Code,Issuer Name,Symbol,Security Name
500002,ABB India Limited,ABB,ABB India Ltd,,,,,
500003,Aegis Logistics Ltd.,AEGISLOG,Aegis Logistics Ltd,,,,,
500008,Amara Raja Energy & Mobility Limited,ARE&M,Amara Raja Energy & Mobility Ltd,,,,,
500009,Ambalal Sarabhai Enterprise Ltd.,AMBALALSA,Ambalal Sarabhai Enterprises Ltd,,,,,
500012,Andhra Petrochemicals Ltd.,ANDHRAPET,Andhra Petrochemicals Ltd,,,,,
500013,Ansal Properties & Infrastructure Ltd.,ANSALAPI,Ansal Properties & Infrastructure Ltd,,,,,
500014,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,,,,,
500016,Aruna Hotels Ltd.,ARUNAHTEL,Aruna Hotels Ltd,,,,,
500020,Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING,Bombay Dyeing & Manufacturing Company Ltd,,,,,
500023,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Ltd,,,,,
500027,Atul Limited.,ATUL,Atul Ltd,,,,,
500028,ATV Projects India Ltd,ATVPR,ATV Projects India Ltd,,,,,
500031,Bajaj Electricals Ltd.,BAJAJELEC,Bajaj Electricals Ltd,,,,,
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Ltd,,,,,
500033,Force Motors Limited,FORCEMOT,Force Motors Ltd,,,,,
500034,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Ltd,,,,,
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN,Balrampur Chini Mills Ltd,,,,,
500039,Banco Products (India) Ltd.,BANCOINDIA,Banco Products (India) Ltd,,,,,
500040,ADITYA BIRLA REAL ESTATE LIMITED,ABREL,Aditya Birla Real Estate Ltd,,,,,
500041,Bannari Amman Sugars Ltd.,BANARISUG,Bannari Amman Sugars Ltd,,,,,
500042,BASF India Ltd,BASF,BASF India Ltd,,,,,
500043,Bata India Limited,BATAINDIA,Bata India Ltd,,,,,
500048,BEML Ltd,BEML,BEML Ltd,,,,,
500049,Bharat Electronics Ltd.,BEL,Bharat Electronics Ltd,,,,,
500051,Bhagawati Gas Limited,BHAGGAS,Bhagawati Gas Ltd,,,,,
500052,Bhansali Engineering Polymers Ltd.,BEPL,Bhansali Engineering Polymers Ltd,,,,,
500058,Bihar Sponge Iron Ltd,BIHSPONG,Bihar Sponge Iron Ltd,,,,,
500059,BIL VYAPAR LIMITED,BILVYAPAR,Bil Vyapar Ltd,,,,,
