Rank,Symbol,Company Name,"Average market capitalisation from July  01, 2024 to December 31, 2024 (Rs. In lakhs)"
1,RELIANCE,RELIANCE INDUSTRIES LIMITED,190419300.15231708
2,TCS,TATA CONSULTANCY SERVICES LIMITED,154067468.10116294
3,HDFCBANK,HDFC BANK LIMITED,129910519.5235018
4,BHARTIARTL,BHARTI AIRTEL LIMITED,89560770.03521591
5,ICICIBANK,ICICI BANK LIMITED,88412395.67513745
6,INFY,INFOSYS LIMITED,77267704.00931473
7,SBIN,STATE BANK OF INDIA,73499068.87622216
8,LICI,LIFE INSURANCE CORPORATION OF INDIA,63260318.15540441
9,HINDUNILVR,HINDUSTAN UNILEVER LIMITED,62243488.09888789
10,ITC,ITC LIMITED,60683961.16517904
11,LT,LARSEN & TOUBRO LIMITED,49972065.764075585
12,HCLTECH,HCL TECHNOLOGIES LIMITED,47822553.67641711
13,BAJFINANCE,BAJAJ FINANCE LIMITED,43237001.192556344
14,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LIMITED,42820902.41490793
15,NTPC,NTPC LIMITED,38108013.34542811
16,MARUTI,MARUTI SUZUKI INDIA LIMITED,37655401.54717211
17,AXISBANK,AXIS BANK LIMITED,36527182.27929705
18,ONGC,OIL & NATURAL GAS CORPORATION LIMITED,36197856.686678834
19,M&M,MAHINDRA & MAHINDRA LIMITED,35982814.02077264
20,KOTAKBANK,KOTAK MAHINDRA BANK LIMITED,35686960.768418014
21,TATAMOTORS,TATA MOTORS LIMITED,33116434.506734125
22,ADANIENT,ADANI ENTERPRISES LIMITED,33049546.420283467
23,ULTRACEMCO,ULTRATECH CEMENT LIMITED,33046925.912999094
24,POWERGRID,POWER GRID CORPORATION OF INDIA LIMITED,30953479.495870415
25,HAL,HINDUSTAN AERONAUTICS LIMITED,30784739.987103175
26,TITAN,TITAN COMPANY LIMITED,30465252.3053473
27,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,30109799.345057122
28,DMART,AVENUE SUPERMARTS LIMITED,29223180.006835125
29,COALINDIA,COAL INDIA LIMITED,29059318.49292776
30,WIPRO,WIPRO LIMITED,28702054.220425494
31,BAJAJ-AUTO,BAJAJ AUTO LIMITED,28253270.989168942
32,ASIANPAINT,ASIAN PAINTS LIMITED,27787872.19057901
33,BAJAJFINSV,BAJAJ FINSERV LIMITED,27157980.766427223
34,ADANIGREEN,ADANI GREEN ENERGY LIMITED,25973908.724249262
35,SIEMENS,SIEMENS LIMITED,25499047.646987423
36,ADANIPOWER,ADANI POWER LIMITED,24081854.648582242
37,TRENT,TRENT LIMITED,24030369.43047445
38,NESTLEIND,NESTLE INDIA LIMITED,23426814.86300159
39,JSWSTEEL,JSW STEEL LIMITED,23303254.91379713
40,ZOMATO,ZOMATO LIMITED,23006209.105695214
41,HINDZINC,HINDUSTAN ZINC LIMITED,22716421.533035714
42,IOC,INDIAN OIL CORPORATION LIMITED,22521480.866942145
43,BEL,BHARAT ELECTRONICS LIMITED,21736729.45971755
44,IRFC,INDIAN RAILWAY FINANCE CORPORATION LIMITED,21622351.191185717
45,JIOFIN,JIO FINANCIAL SERVICES LIMITED,21122826.088208143
46,DLF,DLF LIMITED,20800907.328393925
47,VBL,VARUN BEVERAGES LIMITED,20095320.210082717
48,TATASTEEL,TATA STEEL LIMITED,19178680.886051923
49,VEDL,VEDANTA LIMITED,17949759.463991407
50,LTIM,LTIMINDTREE LIMITED,17666529.118706852
51,GRASIM,GRASIM INDUSTRIES LIMITED,17628670.42914769
52,INDIGO,INTERGLOBE AVIATION LIMITED,17215019.341963172
53,SBILIFE,SBI LIFE INSURANCE COMPANY LIMITED,16557204.643428452
54,PFC,POWER FINANCE CORPORATION LIMITED,16412990.942846986
55,ABB,ABB INDIA LIMITED,16387073.93575496
56,TECHM,TECH MAHINDRA LIMITED,15943006.930941433
57,PIDILITIND,PIDILITE INDUSTRIES LIMITED,15936007.441320812
58,HINDALCO,HINDALCO INDUSTRIES LIMITED,15209848.603710424
59,AMBUJACEM,AMBUJA CEMENTS LIMITED,14917604.13436004
60,HYUNDAI,HYUNDAI MOTOR INDIA LIMITED,14817313.083489582
61,HDFCLIFE,HDFC LIFE INSURANCE COMPANY LIMITED,14779614.376601601
62,RECLTD,REC LIMITED,14764748.121746033
63,DIVISLAB,DIVI'S LABORATORIES LIMITED,14376586.117312143
64,GAIL,GAIL (INDIA) LIMITED,14279347.080292087
65,BPCL,BHARAT PETROLEUM CORPORATION LIMITED,13988392.264890922
66,TATAPOWER,TATA POWER COMPANY LIMITED,13829112.34216992
67,GODREJCP,GODREJ CONSUMER PRODUCTS LIMITED,13669844.465002341
68,BRITANNIA,BRITANNIA INDUSTRIES LIMITED,13483584.741691902
69,EICHERMOT,EICHER MOTORS LIMITED,13222154.914580436
70,MOTHERSON,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,12898906.203023845
71,LODHA,MACROTECH DEVELOPERS LIMITED,12888979.03644149
72,BANKBARODA,BANK OF BARODA,12872209.959229115
73,CIPLA,CIPLA LIMITED,12520665.95017453
74,JSWENERGY,JSW ENERGY LIMITED,12266165.142315576
75,TVSMOTOR,TVS MOTOR COMPANY LIMITED,12247625.32593812
76,PNB,PUNJAB NATIONAL BANK,12071602.266891824
77,SHRIRAMFIN,SHRIRAM FINANCE LIMITED,11673114.743536597
78,CHOLAFIN,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,11650944.026218228
79,BAJAJHFL,BAJAJ HOUSING FINANCE LIMITED,11626447.119927892
80,SWIGGY,SWIGGY LIMITED,11494775.204681922
81,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LIMITED,11488179.055580476
82,NTPCGREEN,NTPC GREEN ENERGY LIMITED,11474413.999366935
83,HAVELLS,HAVELLS INDIA LIMITED,11399672.820431087
84,ADANIENSOL,ADANI ENERGY SOLUTIONS LIMITED,11281218.05223849
85,CGPOWER,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,11253283.204742739
86,TORNTPHARM,TORRENT PHARMACEUTICALS LIMITED,11120181.277338414
87,DRREDDY,DR. REDDY'S LABORATORIES LIMITED,10996474.78042563
88,IOB,INDIAN OVERSEAS BANK,10938721.249039495
89,ZYDUSLIFE,ZYDUS LIFESCIENCES LIMITED,10804549.239530317
90,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,10725571.913802827
91,UNITDSPR,UNITED SPIRITS LIMITED,10690715.721165983
92,RVNL,RAIL VIKAS NIGAM LIMITED,10572226.83509008
93,HEROMOTOCO,HERO MOTOCORP LIMITED,10412948.046602279
94,DABUR,DABUR INDIA LIMITED,10388030.533476958
95,ICICIPRULI,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,10289112.433360882
96,BOSCHLTD,BOSCH LIMITED,10272298.79639254
97,POLYCAB,POLYCAB INDIA LIMITED,10262842.109330537
98,INDUSTOWER,INDUS TOWERS LIMITED,10260230.349472173
99,CUMMINSIND,CUMMINS INDIA LIMITED,10133003.134920634
100,NAUKRI,INFO EDGE (INDIA) LIMITED,10012360.671147142
101,INDHOTEL,THE INDIAN HOTELS COMPANY LIMITED,9949825.030520355
102,APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LIMITED,9895040.539026458
103,MANKIND,MANKIND PHARMA LIMITED,9882806.657503774
104,OFSS,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,9824646.454033976
105,INDUSINDBK,INDUSIND BANK LIMITED,9824214.35213912
